book_id,title,author,fictional,popularity_score,isbn,page_count,tags,cover_image_filename,cover_image_dominant_color,cover_image_bg_color,is_cover_image_dark,createdAt,updatedAt,introdone
77,The Four Agreements,Miguel Ruiz,False,88,9781878424310,160,"{bestseller,self-improvement,motivational}",77.webp,#9e3c1a,#e4c9bf,True,2025-04-06 07:49:30.487+00,2025-05-01 14:25:24.604+00,true
55,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,False,90,9780812974492,473,"{bestseller,historical}",55.webp,NULL,NULL,NULL,2025-04-06 07:49:30.454+00,2025-04-26 14:46:13.231+00,true
79,Common Sense,Thomas Paine,False,85,9780486296029,48,"{classic,historical,short-read}",79.webp,#19304c,#bfc5cd,True,2025-04-06 07:49:30.489+00,2025-05-01 14:26:06.268+00,true
82,Cosmos,Carl Sagan,False,95,9780345331359,384,"{bestseller,classic,educational}",82.webp,#040a0f,#b9bbbc,True,2025-04-06 07:49:30.494+00,2025-04-27 08:32:36.95+00,true
90,Chasing the Devil: The Search for Africa's Fighting Spirit,Tim Butcher,False,65,9780701185397,384,"{historical,educational}",90.webp,#d44502,#f3cbb8,True,2025-04-06 07:49:30.506+00,2025-05-24 21:17:34.015+00,true
65,The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher,False,60,9780701187934,336,"{historical,educational}",65.webp,NULL,NULL,NULL,2025-04-06 07:49:30.47+00,2025-04-26 14:46:13.256+00,true
59,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,False,80,9780767902526,397,"{travel,humor}",59.webp,#113e24,#bcc9c2,True,2025-04-06 07:49:30.461+00,2025-05-24 21:04:00.264+00,true
87,Narrative of the Life of Frederick Douglass,Frederick Douglass,False,85,9780486284996,96,"{classic,historical,influential}",87.webp,#6e472a,#d7cbc3,True,2025-04-06 07:49:30.502+00,2025-05-01 14:28:04.776+00,true
92,The Complete Poems of Emily Dickinson,Emily Dickinson,False,85,9780316184137,770,"{classic,influential}",92.webp,#d7cfbb,#c2baa8,False,2025-04-06 07:49:30.509+00,2025-05-01 14:29:21.38+00,true
81,Silent Spring,Rachel Carson,False,90,9780618249060,400,"{classic,influential,historical}",81.webp,NULL,NULL,NULL,2025-04-06 07:49:30.492+00,2025-04-26 14:46:13.307+00,true
54,The Elements of Style,William Strunk Jr.,False,85,9780205309023,105,"{educational,foundational}",54.webp,#f8e9d3,#dfd2be,False,2025-04-06 07:49:30.453+00,2025-05-01 14:19:22.786+00,true
89,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,False,92,9780060731335,336,"{bestseller,influential}",89.webp,NULL,NULL,NULL,2025-04-06 07:49:30.505+00,2025-04-26 14:46:13.335+00,true
58,The Communist Manifesto,Karl Marx,False,90,9780140447576,128,"{influential,foundational}",58.webp,#c02812,#edc3bd,True,2025-04-06 07:49:30.459+00,2025-04-27 08:30:39.552+00,true
98,The Art of Happiness,Dalai Lama XIV,False,90,9781573221115,352,"{bestseller,motivational}",98.webp,NULL,NULL,NULL,2025-04-06 07:49:30.517+00,2025-04-26 14:46:13.359+00,true
104,The Undoing Project: A Friendship That Changed Our Minds,Michael Lewis,False,80,9780393254594,368,"{psychology,influential}",104.webp,#20485c,#c1ccd1,True,2025-04-06 07:49:30.526+00,2025-05-24 17:46:32.389+00,true
126,Moneyball,Michael Lewis,False,90,9780393324815,317,"{bestseller,adapted-to-film}",126.webp,#084e24,#bacdc2,True,2025-04-06 07:49:30.557+00,2025-04-27 08:14:48.319+00,true
113,The Wave,Susan Casey,False,70,9780767928847,352,"{science,nature}",113.webp,#ffcf71,#e6ba66,False,2025-04-06 07:49:30.539+00,2025-05-24 17:50:00.273+00,true
105,She Said!: The Book of Quotes,Chriselda Barretto,False,45,NULL,NULL,"{quotes,inspirational}",105.webp,NULL,NULL,NULL,2025-04-06 07:49:30.527+00,2025-04-26 14:46:13.38+00,true
108,The Daughter Of Kurdland: A Life Dedicated to Humankind,Widad Akreyi,False,55,NULL,NULL,"{biography,inspirational}",108.webp,NULL,NULL,NULL,2025-04-06 07:49:30.531+00,2025-04-26 14:46:13.391+00,true
122,We Were Eight Years in Power: An American Tragedy,Ta-Nehisi Coates,False,85,9780399590566,367,"{influential,historical}",122.webp,#32413f,#c6cac9,True,2025-04-06 07:49:30.551+00,2025-05-01 13:47:07.758+00,true
115,A Vindication of the Rights of Woman,Mary Wollstonecraft,False,80,9780486290362,256,"{classic,influential,historical}",115.webp,#6c313d,#d6c5c9,True,2025-04-06 07:49:30.542+00,2025-05-24 17:50:22.616+00,true
121,The Essential Neruda: Selected Poems,Pablo Neruda,False,70,NULL,240,"{classic,poetry}",121.webp,#e36e26,#f7d7c2,True,2025-04-06 07:49:30.55+00,2025-05-24 17:53:30.14+00,true
116,Om Chanting and Meditation,Amit Ray,False,50,9781522785560,150,"{spirituality,self-improvement}",116.webp,NULL,NULL,NULL,2025-04-06 07:49:30.544+00,2025-04-26 14:46:13.417+00,true
120,At Home: A Short History of Private Life,Bill Bryson,False,80,9780767919395,512,"{historical,educational}",120.webp,NULL,NULL,NULL,2025-04-06 07:49:30.549+00,2025-04-26 14:46:13.43+00,true
125,The Girls of Atomic City: The Untold Story of the Women Who Helped Win World War II,Denise Kiernan,False,80,9781451617528,400,"{historical,influential}",125.webp,#3b6e69,#c8d7d5,True,2025-04-06 07:49:30.556+00,2025-05-24 17:56:16.848+00,true
136,The Power of Your Subconscious Mind,Joseph Murphy,False,85,9781604592016,320,"{self-improvement,motivational}",136.webp,#7b94b8,#dae1eb,True,2025-04-06 07:49:30.571+00,2025-05-01 13:49:15.125+00,true
127,From Here to Eternity: Traveling the World to Find the Good Death,Caitlin Doughty,False,75,9780393356281,272,"{influential,society}",127.webp,#356242,#c7d3ca,True,2025-04-06 07:49:30.558+00,2025-05-24 17:57:30.349+00,true
112,Stumbling on Happiness,Daniel Todd Gilbert,False,85,9781400077427,336,"{psychology,self-improvement}",112.webp,#e88537,#f9ddc7,True,2025-04-06 07:49:30.538+00,2025-05-01 13:45:56.493+00,true
133,You're Never Weird on the Internet,Felicia Day,False,70,9781476785653,260,"{bestseller,memoir}",133.webp,#259c9b,#c2e3e3,True,2025-04-06 07:49:30.566+00,2025-05-24 18:01:09.93+00,true
132,"Praying Like Monks, Living Like Fools: An Invitation to the Wonder and Mystery of Prayer",Tyler Staton,False,60,NULL,NULL,{religion},132.webp,NULL,NULL,NULL,2025-04-06 07:49:30.565+00,2025-04-26 14:46:13.476+00,true
138,Consider the Lobster and Other Essays,David Foster Wallace,False,75,9780316013321,343,"{influential,essays}",138.webp,#0aa9ab,#bbe7e7,True,2025-04-06 07:49:30.574+00,2025-05-24 18:04:27.411+00,true
103,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,False,90,9780143118756,240,"{bestseller,educational,self-improvement}",103.webp,#88bbc0,#accfd3,True,2025-04-06 07:49:30.524+00,2025-04-27 08:13:18.196+00,true
146,Neil Patrick Harris: Choose Your Own Autobiography,Neil Patrick Harris,False,72,9780385346993,304,"{biography,entertainment}",146.webp,#de3f19,#f6c9bf,True,2025-04-06 07:49:30.585+00,2025-05-24 18:09:39.571+00,true
154,"I Feel Bad About My Neck, And Other Thoughts on Being a Woman",Nora Ephron,False,82,9780307276827,160,"{humor,biography}",154.webp,#e9acc6,#f0c5d7,True,2025-04-06 07:49:30.596+00,2025-05-24 18:15:08.26+00,true
157,Notes on a Nervous Planet,Matt Haig,False,85,9781786892676,320,"{self-improvement,society}",157.webp,#5e2a35,#d2c3c7,True,2025-04-06 07:49:30.6+00,2025-05-01 13:54:39.217+00,true
152,Never Cry Wolf: The Amazing True Story of Life Among Arctic Wolves,Farley Mowat,False,80,9780316881791,256,"{nature,biography}",152.webp,NULL,NULL,NULL,2025-04-06 07:49:30.592+00,2025-04-26 14:46:13.542+00,true
160,Tribe: On Homecoming and Belonging,Sebastian Junger,False,80,9781455566389,192,"{society,psychology}",160.webp,#526051,#cfd3ce,True,2025-04-06 07:49:30.604+00,2025-05-24 18:19:26.89+00,true
155,The Happiness Project,Gretchen Rubin,False,90,9780061583261,315,"{bestseller,self-improvement}",155.webp,NULL,NULL,NULL,2025-04-06 07:49:30.597+00,2025-04-26 14:46:13.552+00,true
158,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,False,87,9780307408846,464,"{historical,biography}",158.webp,#611c21,#d3bfc1,True,2025-04-06 07:49:30.602+00,2025-05-01 13:55:06.974+00,true
161,Know My Name,Chanel Miller,False,85,9780735223707,368,"{award-winning,influential}",161.webp,#094251,#bacace,True,2025-04-06 07:49:30.606+00,2025-05-01 13:55:40.529+00,true
169,Shake Hands with the Devil,Roméo Dallaire,False,78,9780786715107,592,"{award-winning,historical}",169.webp,#e73e1a,#f8c9bf,True,2025-04-06 07:49:30.617+00,2025-05-24 18:28:34.881+00,true
164,The Art of Seduction,Robert Greene,False,88,9781861977694,496,"{bestseller,influential}",164.webp,#240815,#c2babd,True,2025-04-06 07:49:30.61+00,2025-05-01 13:56:47.199+00,true
163,FDR Unmasked: 73 Years of Medical Cover-ups That Rewrote History,Steven Lomazow,False,60,NULL,NULL,{historical},163.webp,NULL,NULL,NULL,2025-04-06 07:49:30.609+00,2025-04-26 14:46:13.579+00,true
168,Wings of Fire: An Autobiography,A.P.J. Abdul Kalam,False,85,9788173711466,180,"{influential,motivational}",168.webp,#2a899a,#c3dee3,True,2025-04-06 07:49:30.616+00,2025-05-01 13:58:12.25+00,true
170,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,False,90,9780071401944,240,"{bestseller,self-improvement}",170.webp,#252017,#c2c1be,True,2025-04-06 07:49:30.619+00,2025-04-27 08:21:24.518+00,true
173,You Can Win : A Step by Step Tool for Top Achievers,Shiv Kehra,False,85,9789382951711,308,"{motivational,self-improvement}",173.webp,#4cbca9,#cdece7,True,2025-04-06 07:49:30.624+00,2025-05-01 13:59:12.913+00,true
172,The Road to Little Dribbling: Adventures of an American in Britain,Bill Bryson,False,75,9780385539289,400,"{humor,travel}",172.webp,#768471,#d9ddd7,True,2025-04-06 07:49:30.622+00,2025-05-24 18:30:12.478+00,true
142,My Life,Bill Clinton,False,85,9780375414572,1008,"{bestseller,politics,biography}",142.webp,#99291c,#e3c3bf,True,2025-04-06 07:49:30.579+00,2025-05-01 13:50:32.061+00,true
180,Hallucinations,Oliver Sacks,False,80,9780307957245,352,"{bestseller,psychology}",180.webp,#220c62,#c1bbd3,True,2025-04-06 07:49:30.633+00,2025-05-24 18:33:46.189+00,true
179,This Is Your Brain on Music,Daniel J. Levitin,False,85,9780452288522,322,"{bestseller,educational}",179.webp,#47235f,#cbc1d2,True,2025-04-06 07:49:30.632+00,2025-05-01 13:59:25.197+00,true
182,"Persepolis 2: The Story of a Return (Persepolis, #2)",Marjane Satrapi,False,85,9780375714665,192,"{classic,award-winning,historical}",182.webp,#5d3b5b,#d2c8d1,True,2025-04-06 07:49:30.636+00,2025-05-01 13:59:55.506+00,true
145,The Sociopath Next Door,Martha Stout,False,78,9780767915823,241,"{psychology,self-improvement}",145.webp,#045877,#b9d0d9,True,2025-04-06 07:49:30.583+00,2025-05-24 18:08:46.96+00,true
165,Capital: A Critique of Political Economy Volume 1,Karl Marx,False,90,9780140445688,1152,"{classic,foundational}",165.webp,#590e03,#d1bbb9,True,2025-04-06 07:49:30.612+00,2025-04-27 08:20:58.566+00,true
192,The Art of Success: What No One Ever Taught You (But You Still Need to Know),James Melouney,False,65,9780994289200,200,"{self-improvement,motivational}",192.webp,#f6582e,#fdd0c5,True,2025-04-06 07:49:30.649+00,2025-05-24 18:39:57.769+00,true
187,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Brian Greene,False,85,9780375727207,569,"{bestseller,educational}",187.webp,NULL,NULL,NULL,2025-04-06 07:49:30.643+00,2025-04-26 14:46:13.649+00,true
198,Gulp: Adventures on the Alimentary Canal,Mary Roach,False,80,9780393348743,348,"{bestseller,educational}",198.webp,#40a335,#c9e5c7,True,2025-04-06 07:49:30.656+00,2025-05-24 19:13:57.696+00,true
201,Emotional Intelligence 2.0,Travis Bradberry,False,85,978-0974320625,256,"{self-improvement,educational}",201.webp,#3a3678,#c8c7d9,True,2025-04-06 07:49:30.66+00,2025-05-01 14:02:19.169+00,true
202,No Logo,Naomi Klein,False,80,978-0312429270,490,"{influential,society}",202.webp,#a4251a,#e5c2bf,True,2025-04-06 07:49:30.661+00,2025-05-24 19:14:54.32+00,true
208,Up from Slavery,Booker T. Washington,False,85,978-0486287386,176,"{classic,historical}",208.webp,#3aa196,#c8e5e2,True,2025-04-06 07:49:30.668+00,2025-05-01 14:03:25.537+00,true
205,The Te of Piglet,Benjamin Hoff,False,70,978-0140230161,257,"{philosophy,influential}",205.webp,#dc837a,#f5dcda,True,2025-04-06 07:49:30.664+00,2025-05-24 19:17:05.62+00,true
207,Notorious RBG: The Life and Times of Ruth Bader Ginsburg,Irin Carmon,False,78,978-0062415837,240,"{biography,influential}",207.webp,#f75735,#fdd0c7,True,2025-04-06 07:49:30.667+00,2025-05-24 19:18:31.031+00,true
209,Bonk: The Curious Coupling of Science and Sex,Mary Roach,False,75,978-0393334791,319,"{science,educational}",209.webp,#f43563,#fcc7d3,True,2025-04-06 07:49:30.67+00,2025-05-24 19:19:25.531+00,true
213,Measure What Matters,John Doerr,False,85,978-0525536222,320,"{business,influential}",213.webp,#3c2f64,#c9c5d4,True,2025-04-06 07:49:30.675+00,2025-05-01 14:04:10.327+00,true
210,Just Listen: Discover the Secret to Getting Through to Absolutely Anyone,Mark Goulston,False,70,978-0814436479,272,"{communication,self-improvement}",210.webp,#1392c1,#bde1ee,True,2025-04-06 07:49:30.671+00,2025-05-24 19:20:16.074+00,true
211,Waiter to the Rich and Shameless: Confessions of a Five-Star Beverly Hills Server,Paul Hartford,False,60,NULL,NULL,"{memoir,society}",211.webp,NULL,NULL,NULL,2025-04-06 07:49:30.672+00,2025-04-26 14:46:13.725+00,true
220,Ethics,Baruch Spinoza,False,85,978-0140435719,208,"{philosophy,classic}",220.webp,#225080,#c1cedb,True,2025-04-06 07:49:30.683+00,2025-05-01 14:05:03.738+00,true
222,"Stalingrad: The Fateful Siege, 1942–1943",Antony Beevor,False,85,9780141032405,528,"{historical,award-winning}",222.webp,#08554d,#bacfcd,True,2025-04-06 07:49:30.686+00,2025-05-01 14:05:17.64+00,true
186,Born Standing Up: A Comic's Life,Steve Martin,False,80,9781416553649,207,"{bestseller,influential}",186.webp,#ffc710,#ffd858,True,2025-04-06 07:49:30.641+00,2025-05-24 18:36:23.688+00,true
197,Leadership and Self-Deception: Getting Out of the Box,Arbinger Institute,False,85,9781576759776,240,"{bestseller,self-improvement}",197.webp,#4a2db5,#ccc4ea,True,2025-04-06 07:49:30.655+00,2025-05-01 14:01:30.95+00,true
184,If This Is a Man • The Truce,Primo Levi,False,90,9780349100135,416,"{classic,historical,influential}",184.webp,#2f2311,#c5c1bc,True,2025-04-06 07:49:30.639+00,2025-04-27 08:22:19.234+00,true
235,Framed: Astonishing True Stories of Wrongful Convictions,John Grisham,False,70,9780385534131,320,"{educational,historical}",235.webp,#2e6e6a,#c5d7d5,True,2025-04-06 07:49:30.704+00,2025-05-24 19:33:12.191+00,true
252,Complications: A Surgeon's Notes on an Imperfect Science,Atul Gawande,False,85,9780312421709,269,"{award-winning,educational}",252.webp,#1f6d6c,#c0d6d6,True,2025-04-06 07:49:30.728+00,2025-05-01 14:05:50.184+00,true
238,The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan,False,80,9780375760396,304,"{educational,science}",238.webp,#7b9d32,#dae3c6,True,2025-04-06 07:49:30.708+00,2025-05-24 19:36:40.851+00,true
258,Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,Nassim Nicholas Taleb,False,90,9780812975215,368,"{bestseller,influential}",258.webp,#0a1d21,#bbc0c1,True,2025-04-06 07:49:30.737+00,2025-04-27 08:26:40.899+00,true
243,A Man After God's Own Heart: Devoting Your Life to What Really Matters,Jim George,False,60,9780736959780,240,"{motivational,religion}",243.webp,NULL,NULL,NULL,2025-04-06 07:49:30.715+00,2025-04-26 14:46:13.849+00,true
246,Men Explain Things to Me,Rebecca Solnit,False,75,9781608464661,130,"{influential,trending}",246.webp,#1c5677,#bfd0d9,True,2025-04-06 07:49:30.719+00,2025-05-24 19:42:37.726+00,true
253,The Power of a Praying Woman,Stormie Omartian,False,70,9780736957762,256,"{motivational,religion}",253.webp,#2b9599,#c4e1e3,True,2025-04-06 07:49:30.729+00,2025-05-24 19:47:52.965+00,true
248,What I Wish I Said: Confessions of a Columnist,Jaime Watt,False,40,NULL,NULL,{niche},248.webp,NULL,NULL,NULL,2025-04-06 07:49:30.722+00,2025-04-26 14:46:13.868+00,true
257,"Never Eat Alone: And Other Secrets to Success, One Relationship at a Time",Keith Ferrazzi,False,85,9780385512053,352,"{bestseller,motivational}",257.webp,#fd7d50,#ffdbce,True,2025-04-06 07:49:30.736+00,2025-05-01 14:06:05.994+00,true
255,Homicide: A Year on the Killing Streets,David Simon,False,75,9780805080759,672,"{award-winning,adapted-to-film}",255.webp,#141411,#bdbdbc,True,2025-04-06 07:49:30.733+00,2025-05-24 19:49:16.406+00,true
256,Why Men Love Bitches,Sherry Argov,False,70,9781580627566,255,"{self-improvement,trending}",256.webp,#f48f95,#f7b1b5,True,2025-04-06 07:49:30.735+00,2025-05-24 19:50:41.868+00,true
259,A Long Way Home,Saroo Brierley,False,80,9780425276198,288,"{bestseller,adapted-to-film}",259.webp,#f85e0b,#fdd2bb,True,2025-04-06 07:49:30.738+00,2025-05-24 19:53:14.247+00,true
260,The Mother Tongue: English and How It Got That Way,Bill Bryson,False,85,9780380715435,270,"{educational,influential}",260.webp,#728a6f,#d7ded7,True,2025-04-06 07:49:30.74+00,2025-05-01 14:06:13.239+00,true
234,Maybe You Should Talk to Someone,Lori Gottlieb,False,85,9781328662057,432,"{bestseller,psychology}",234.webp,#f6bf38,#f9d274,True,2025-04-06 07:49:30.703+00,2025-05-01 14:05:39.58+00,true
264,Unf*ck Your Habitat: You're Better Than Your Mess,Rachel Hoffman,False,75,9781250102959,224,"{self-improvement,motivational}",264.webp,#4092a0,#c9e1e5,True,2025-04-06 07:49:30.746+00,2025-05-24 19:55:44.53+00,true
262,Sister Outsider: Essays and Speeches,Audre Lorde,False,85,9781515905431,192,"{influential,award-winning}",262.webp,#c02730,#edc3c5,True,2025-04-06 07:49:30.743+00,2025-05-01 14:06:56.49+00,true
232,Death by Black Hole: And Other Cosmic Quandaries,Neil deGrasse Tyson,False,80,9780393350388,384,"{educational,science}",232.webp,#39254d,#c7c2cd,True,2025-04-06 07:49:30.7+00,2025-05-24 19:30:46.477+00,true
265,Diary of a Freedom Writer: The Experience,Darrius Garrett,False,65,9780757317203,320,"{inspirational,educational}",265.webp,#345975,#c6d1d8,True,2025-04-06 07:49:30.749+00,2025-05-24 19:56:22.344+00,true
267,The Bible: Enter Here: Bringing God's Word to Life for Today's Teens,Spencer C Demetros,False,60,NULL,256,"{religious,educational}",267.webp,NULL,NULL,NULL,2025-04-06 07:49:30.752+00,2025-04-26 14:46:13.956+00,true
268,Segment of One,Michael Grigsby,False,50,NULL,200,"{business,marketing}",268.webp,NULL,NULL,NULL,2025-04-06 07:49:30.754+00,2025-04-26 14:46:13.961+00,true
269,Speedy Reads,Chris-Jean Clarke,False,45,NULL,150,"{short-read,educational}",269.webp,NULL,NULL,NULL,2025-04-06 07:49:30.756+00,2025-04-26 14:46:13.967+00,true
233,Ask and It Is Given: Learning to Manifest Your Desires,Esther Hicks,False,75,9781401904593,314,"{self-improvement,motivational}",233.webp,#442780,#cbc3db,True,2025-04-06 07:49:30.702+00,2025-05-24 19:31:51.124+00,true
236,Range: Why Generalists Triumph in a Specialized World,David Epstein,False,90,9780735214484,352,"{bestseller,educational}",236.webp,#deb040,#e8c879,True,2025-04-06 07:49:30.706+00,2025-04-27 08:25:06.795+00,true
276,The Joy of Sex,Alex Comfort,False,80,9781844037853,240,"{classic,educational}",276.webp,#f9b8ae,#e0a69d,False,2025-04-06 07:49:30.768+00,2025-05-24 20:02:47.845+00,true
281,How to Stop Feeling Like Sh*t,Andrea Owen,False,70,NULL,NULL,"{self-improvement,motivational}",281.webp,#dc6b42,#f5d5ca,True,2025-04-06 07:49:30.777+00,2025-05-24 20:06:42.06+00,true
289,What I Wish I Knew When I Was 20,Tina Seelig,False,75,NULL,NULL,"{self-improvement,motivational}",289.webp,#ca2e23,#f0c5c1,True,2025-04-06 07:49:30.792+00,2025-05-24 20:13:46.665+00,true
287,"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday,False,85,NULL,NULL,"{motivational,self-improvement}",287.webp,#06485f,#b9ccd2,True,2025-04-06 07:49:30.788+00,2025-05-01 14:10:40.797+00,true
288,The Making of the Atomic Bomb,Richard Rhodes,False,88,NULL,NULL,"{historical,award-winning}",288.webp,#e58148,#f8dccc,True,2025-04-06 07:49:30.79+00,2025-05-01 14:10:52.786+00,true
294,PostSecret: Extraordinary Confessions from Ordinary Lives,Frank Warren,False,85,NULL,NULL,"{trending,society}",294.webp,#a94aa1,#e7cce5,True,2025-04-06 07:49:30.799+00,2025-05-01 14:11:45.927+00,true
291,The Zookeeper's Wife: A War Story,Diane Ackerman,False,80,NULL,NULL,"{historical,adapted-to-film}",291.webp,#f8b029,#fac869,True,2025-04-06 07:49:30.794+00,2025-05-24 20:14:58.126+00,true
292,Mindsight: The New Science of Personal Transformation,Daniel J. Siegel,False,78,NULL,NULL,"{self-improvement,psychology}",292.webp,#155b45,#bdd1cb,True,2025-04-06 07:49:30.796+00,2025-05-24 20:15:46.038+00,true
296,Bullshit Jobs: A Theory,David Graeber,False,75,NULL,NULL,"{society,economics}",296.webp,#672319,#d5c1bf,True,2025-04-06 07:49:30.802+00,2025-05-24 20:20:09.76+00,true
310,The Letters of Vincent van Gogh,Vincent van Gogh,False,85,9780140446746,560,"{classic,influential}",310.webp,#459ea7,#cbe4e6,True,2025-04-06 07:49:30.826+00,2025-05-01 14:13:41.284+00,true
298,The Proper Care and Feeding of Husbands,Laura Schlessinger,False,70,NULL,NULL,"{relationships,self-improvement}",298.webp,#ba5c3c,#ecd1c9,True,2025-04-06 07:49:30.805+00,2025-05-24 20:21:18.621+00,true
299,The Wordy Shipmates,Sarah Vowell,False,70,NULL,NULL,"{historical,society}",299.webp,#cf6e3c,#f1d7c9,True,2025-04-06 07:49:30.807+00,2025-05-24 20:22:49.971+00,true
300,The Girl with the Lower Back Tattoo,Amy Schumer,False,75,NULL,NULL,"{biography,trending}",300.webp,#e7615a,#f8d3d1,True,2025-04-06 07:49:30.808+00,2025-05-24 20:23:33.711+00,true
308,Your Best Year Ever: A 5-Step Plan for Achieving Your Most Important Goals,Michael Hyatt,False,75,9780801075254,272,"{motivational,self-improvement}",308.webp,#1b4a98,#bfcce2,True,2025-04-06 07:49:30.823+00,2025-05-24 20:38:46.14+00,true
301,What's Behind Your Belly Button? A Theory,Charles Bernard Nordhoff,False,50,NULL,NULL,{educational},301.webp,NULL,NULL,NULL,2025-04-06 07:49:30.809+00,2025-04-26 14:46:14.117+00,true
307,Profiles in Courage,John F. Kennedy,False,90,9780060854935,304,"{classic,award-winning}",307.webp,#be8438,#edddc7,True,2025-04-06 07:49:30.822+00,2025-04-27 08:28:08.38+00,true
275,The First 20 Hours: How to Learn Anything...Fast,Josh Kaufman,False,75,9781591845553,288,"{self-improvement,educational}",275.webp,#04a5a9,#b9e6e7,True,2025-04-06 07:49:30.766+00,2025-05-24 20:01:36.652+00,true
283,The Trial and Death of Socrates,Plato,False,85,NULL,NULL,"{classic,philosophy}",283.webp,#538162,#cfdcd3,True,2025-04-06 07:49:30.781+00,2025-05-01 14:09:50.768+00,true
316,Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life,Shakti Gawain,False,85,9781577312291,192,"{self-improvement,motivational}",316.webp,NULL,NULL,NULL,2025-04-06 07:49:30.834+00,2025-04-26 14:46:14.192+00,true
304,Nonviolent Communication: A Language of Life,Marshall B. Rosenberg,False,90,9781892005038,264,"{bestseller,educational,self-improvement}",304.webp,#ca9a58,#f0e3d0,True,2025-04-06 07:49:30.817+00,2025-04-27 08:27:37.876+00,true
325,Will I Ever Be Good Enough? Healing the Daughters of Narcissistic Mothers,Karyl McBride,False,75,9781439129432,243,"{self-improvement,psychology}",325.webp,#f39329,#f7b369,True,2025-04-06 07:49:30.847+00,2025-05-24 20:50:13.508+00,true
